"Project","User","PlotNumber","Table","EditField","EditWhen","BeforeEdit","AfterEdit","Restore","Flag","ID"
"Sample","puket",,"_Env","Check373",6/10/2022 6:58:27,,,0,0,
"Sample","puket",,"_Env","Check369",6/10/2022 6:58:45,,,0,0,
"Sample","puket",,"_Env","Check371",6/10/2022 6:58:45,,,0,0,
"Sample","puket",,"_Env","Check373",6/10/2022 6:58:45,,,0,0,
"Sample","puket",,"Close",,6/10/2022 7:03:45,,,0,0,
"Sample","puket",,"Open",,6/10/2022 7:24:33,,,0,0,
"Sample","puket",,"Close",,6/10/2022 15:37:29,,,0,0,
"Sample","puket",,"Open",,6/10/2022 15:37:29,,,0,0,
"Sample","puket",,"Close",,6/10/2022 15:40:50,,,0,0,
"Sample","puket",,"Open",,6/12/2022 10:50:10,,,0,0,
"Sample","puket",,"Off",,6/12/2022 11:05:11,,,0,0,
"Sample","puket",,"On",,7/21/2022 8:47:16,,,0,0,
